date,bdi,bci,bpi,bsi,bunker_fuel,coal_index,indo_coal_index,dxy,seaborne_volume,mti_india,spot_freight_rate,sources,garch_vol_pct,garch_upper_95,garch_lower_95
2024-01-01,2085,2847,1967,1640,635.0,138.0,57.92,104.2,649710,0.281,22054,,,-9.223372036854776e+18,-9.223372036854776e+18
2024-01-02,2074,2899,1941,1630,637.23,138.82,58.32,104.12,657674,0.285,22077,,1.262,22623.0,21531.0
2024-01-03,2082,2844,1973,1657,627.13,139.73,58.75,104.42,654444,0.279,22271,,1.265,22823.0,21719.0
2024-01-04,2112,2895,1976,1644,626.39,139.64,59.2,104.17,638930,0.272,22362,,1.267,22917.0,21807.0
2024-01-05,2098,2811,1982,1649,627.06,139.23,58.38,103.94,638583,0.272,22322,,1.269,22877.0,21767.0
2024-01-06,2084,2856,1959,1628,630.91,138.42,58.09,103.35,650569,0.279,22408,,1.271,22966.0,21850.0
2024-01-07,2116,2811,2017,1674,633.99,137.21,57.19,103.78,657133,0.283,22450,,1.273,23010.0,21890.0
2024-01-08,2127,2864,1998,1646,636.53,136.18,57.52,103.56,654945,0.283,22663,,1.275,23229.0,22097.0
2024-01-09,2107,2942,1936,1657,632.8,134.38,56.51,103.53,662543,0.285,22403,,1.278,22964.0,21842.0
2024-01-10,2112,2950,2017,1644,624.18,134.13,56.16,103.31,632714,0.269,22069,,1.28,22623.0,21515.0
2024-01-11,2093,2907,1944,1631,622.56,131.95,54.66,103.49,645658,0.273,22068,,1.282,22623.0,21513.0
2024-01-12,2073,2818,1933,1619,627.26,132.06,56.04,103.41,636072,0.271,22074,,1.284,22630.0,21518.0
2024-01-13,2072,2857,1933,1621,633.65,131.9,54.9,103.09,645498,0.278,22136,,1.286,22694.0,21578.0
2024-01-14,2017,2783,1930,1571,636.84,131.96,55.18,103.21,667657,0.289,21692,,1.288,22240.0,21144.0
2024-01-15,1967,2662,1796,1538,638.72,131.21,55.25,102.87,655207,0.285,21092,,1.29,21625.0,20559.0
